"created","song","artist","songartist","url"
2015-08-14 02:11:16,"Take Me To Church","Hozier   Http://T.Co/5Stxqqis5m","Take Me To Church - Hozier   Http://T.Co/5Stxqqis5m","https://t.co/PrjcxAPfqc"
2015-08-14 02:05:28,"Take Shelter","Years &Amp; Years   Http://T.Co/6F9ab5nuta","Take Shelter - Years &Amp; Years   Http://T.Co/6F9ab5nuta","https://t.co/xFnviyTLO1"
2015-08-14 02:02:16,"Fairground","Simply Red   Http://T.Co/5Kgkjc86wj","Fairground - Simply Red   Http://T.Co/5Kgkjc86wj","https://t.co/ZjnN6hKGcv"
2015-08-14 01:53:45,"Wanna Be A Baller","Lil' Troy   Http://T.Co/Vgcjakjh3w","Wanna Be A Baller - Lil' Troy   Http://T.Co/Vgcjakjh3w","https://t.co/vyIcZhwSjG"
2015-08-14 01:48:43,"Want To Want Me","Jason Derulo   Http://T.Co/Ifpxt8fi4m","Want To Want Me - Jason Derulo   Http://T.Co/Ifpxt8fi4m","https://t.co/Sh2ftlH9oe"
2015-08-14 01:44:59,"Digital Witness","St. Vincent   Http://T.Co/Szfpx1ugbz","Digital Witness - St. Vincent   Http://T.Co/Szfpx1ugbz","https://t.co/heLvkP63yb"
2015-08-14 01:41:30,"Trip Switch","Nothing But Thieves   Http://T.Co/Lpdszoub10","Trip Switch - Nothing But Thieves   Http://T.Co/Lpdszoub10","https://t.co/fNJ7o03pd8"
2015-08-14 01:37:44,"Secrets (Radio Edit) [Feat. Vassy]","Tiësto &Amp; Kshmr   Http://T.Co/Truypocunx","Secrets (Radio Edit) [Feat. Vassy] - Tiësto &Amp; Kshmr   Http://T.Co/Truypocunx","https://t.co/ZfXLQ7tTyx"
2015-08-14 01:33:59,"Drone","Fidlar   Http://T.Co/Lp8tafylmx","Drone - Fidlar   Http://T.Co/Lp8tafylmx","https://t.co/ge2UaXuopG"
2015-08-14 01:29:13,"Leave A Trace","Chvrches   Http://T.Co/Ajpcqvml8i","Leave A Trace - Chvrches   Http://T.Co/Ajpcqvml8i","https://t.co/ymmVxoNgfI"
2015-08-14 01:25:44,"Tear In My Heart","Twenty One Pilots   Http://T.Co/Oswtmeigdc","Tear In My Heart - Twenty One Pilots   Http://T.Co/Oswtmeigdc","https://t.co/6w5Z6u4y29"
2015-08-14 01:17:28,"3500 (Feat. Future &Amp; 2 Chainz)","Travi$ Scott   Http://T.Co/X614kzrfho","3500 (Feat. Future &Amp; 2 Chainz) - Travi$ Scott   Http://T.Co/X614kzrfho","https://t.co/fb1CgyRerj"
2015-08-14 01:12:59,"Crazy In Love","Beyoncé   Http://T.Co/0Gv1crb94c","Crazy In Love - Beyoncé   Http://T.Co/0Gv1crb94c","https://t.co/Sjf5aNfFxh"
2015-08-14 01:07:57,"Holding On (Feat. Sam Dew)","Julio Bashmore   Http://T.Co/5Imhfcttwk","Holding On (Feat. Sam Dew) - Julio Bashmore   Http://T.Co/5Imhfcttwk","https://t.co/sD7s8UMRWw"
2015-08-14 01:03:28,"Boys In The Street","Greg Holden   Http://T.Co/Dxnv8cawqh","Boys In The Street - Greg Holden   Http://T.Co/Dxnv8cawqh","https://t.co/OSiYYIJ6ad"
2015-08-14 00:58:57,"Trap Queen","Fetty Wap   Http://T.Co/Efvis1kq18","Trap Queen - Fetty Wap   Http://T.Co/Efvis1kq18","https://t.co/95GskjbIph"
2015-08-14 00:54:58,"Run","Alison Wonderland   Http://T.Co/O3xuftnwuz","Run - Alison Wonderland   Http://T.Co/O3xuftnwuz","https://t.co/3xQvZd2Hjm"
2015-08-14 00:50:12,"Hotline Bling","Drake   Http://T.Co/D6agwdxljt","Hotline Bling - Drake   Http://T.Co/D6agwdxljt","https://t.co/KsAsDCFrvY"
2015-08-14 00:45:55,"Good For You (Feat. A$Ap Rocky)","Selena Gomez","Good For You (Feat. A$Ap Rocky) - Selena Gomez",NA
2015-08-14 00:42:57,"Lean On (Feat. Mø &Amp; Dj Snake)","Major Lazer   Http://T.Co/Gusfol3jly","Lean On (Feat. Mø &Amp; Dj Snake) - Major Lazer   Http://T.Co/Gusfol3jly","https://t.co/xf7y80CpfQ"
2015-08-14 00:39:42,"Way Too Much","Wavves   Http://T.Co/Nt0envbkes","Way Too Much - Wavves   Http://T.Co/Nt0envbkes","https://t.co/B5CZoFd8ym"
