colour	x	y	clickSelects	fill
#F8766D	0.182151019234549	0.310062146914953	Female.No	#F8766D
#7CAE00	0.611724816432053	0.407568543387408	Male.No	#7CAE00
#7CAE00	0.566714136861265	0.222793372517282	Male.No	#7CAE00
#7CAE00	0.908236828971315	0.133668793619356	Male.No	#7CAE00
#F8766D	0.17933632382615	0.230858485722406	Female.No	#F8766D
#7CAE00	0.64724028703164	0.305002193813297	Male.No	#7CAE00
#7CAE00	0.837649650871754	0.231018355116248	Male.No	#7CAE00
#7CAE00	0.843474308028817	0.184987770562822	Male.No	#7CAE00
#7CAE00	0.792754258706488	0.106269892643798	Male.No	#7CAE00
#7CAE00	0.654296648265286	0.168601863001558	Male.No	#7CAE00
#7CAE00	0.601838693615388	0.427894595925781	Male.No	#7CAE00
#F8766D	0.176581924188543	0.383465283042328	Female.No	#F8766D
#7CAE00	0.822245646606792	0.438069560565054	Male.No	#7CAE00
#7CAE00	0.720317948948253	0.243575996634635	Male.No	#7CAE00
#F8766D	0.413198624568229	0.186147163283418	Female.No	#F8766D
#7CAE00	0.890356767499311	0.333485785787078	Male.No	#7CAE00
#F8766D	0.298041752793572	0.417962970212102	Female.No	#F8766D
#7CAE00	0.798562162301757	0.374173885804008	Male.No	#7CAE00
#F8766D	0.360793129964308	0.13867592820051	Female.No	#F8766D
#7CAE00	0.783468235538087	0.390526788478548	Male.No	#7CAE00
#7CAE00	0.832206185145134	0.113236327994276	Male.No	#7CAE00
#F8766D	0.322510726326569	0.360789924860001	Female.No	#F8766D
#F8766D	0.417712505737489	0.162019203586335	Female.No	#F8766D
#7CAE00	0.895557126622986	0.247980212369426	Male.No	#7CAE00
#7CAE00	0.59666900599206	0.402562724172392	Male.No	#7CAE00
#7CAE00	0.829057695174759	0.121001066894016	Male.No	#7CAE00
#7CAE00	0.788706541908058	0.113797449845482	Male.No	#7CAE00
#7CAE00	0.896574488163672	0.353647639974952	Male.No	#7CAE00
#7CAE00	0.851273656230081	0.347430864857002	Male.No	#7CAE00
#F8766D	0.416457062671808	0.323248225010254	Female.No	#F8766D
#7CAE00	0.668376019393856	0.197967475364831	Male.No	#7CAE00
#7CAE00	0.592099001461809	0.10347849689424	Male.No	#7CAE00
#F8766D	0.206261717545038	0.31749433406036	Female.No	#F8766D
#F8766D	0.246146634898402	0.217870869589123	Female.No	#F8766D
#7CAE00	0.845234432003715	0.141205137256872	Male.No	#7CAE00
#7CAE00	0.727210171097381	0.172856084155765	Male.No	#7CAE00
#7CAE00	0.8914980371906	0.11608286337419	Male.No	#7CAE00
#F8766D	0.294977898963473	0.407998104918409	Female.No	#F8766D
#7CAE00	0.862953633916649	0.216564830985259	Male.No	#7CAE00
#7CAE00	0.638099776072936	0.207708679054948	Male.No	#7CAE00
#7CAE00	0.795470835133032	0.296820387582887	Male.No	#7CAE00
#7CAE00	0.734450197185982	0.264250324954363	Male.No	#7CAE00
#7CAE00	0.635260183872147	0.263671479949897	Male.No	#7CAE00
#7CAE00	0.845785356719385	0.244873539459976	Male.No	#7CAE00
#7CAE00	0.675642007961869	0.362525072202764	Male.No	#7CAE00
#7CAE00	0.740968049927191	0.351666128262877	Male.No	#7CAE00
#7CAE00	0.796951832249761	0.0987979392097755	Male.No	#7CAE00
#7CAE00	0.693687894466248	0.428857255557721	Male.No	#7CAE00
